City,Latitude,Longitude,Store Name,Store Type,Foot Traffic,Avg Spending Capacity,Competition Density,Population Density,Avg Income,Rating,Rent Cost
hyderabad,17.45724894722942,78.54132922834589,FreshMart-74,Electronics,165,3886,5,5371,10441,3.7,429318
mumbai,19.074895990497563,72.84070657011983,HomeComforts-2,Restaurant,1588,2986,50,10193,91309,4.7,292636
jaipur,26.762010594346155,75.835919869911,HomeComforts-10,Jewelry,92,2059,7,23907,35093,4.0,165859
surat,22.46389395177628,77.9444400795862,StyleHub-96,Clothing,458,1213,40,8934,41623,4.8,19610
kolkata,22.695869879817067,88.36309425226057,TechZone-94,Grocery,820,2783,20,4400,12971,3.5,153885
jaipur,26.87064676372362,75.90036960913517,GoldNest-12,Grocery,1146,3730,8,8677,90315,4.2,218726
jaipur,26.96921336196043,75.77024567356048,StyleHub-62,Electronics,1474,4772,39,21761,85982,3.1,391574
indore,22.88796056016645,78.46568861992951,HomeComforts-53,Electronics,1796,1471,43,17292,81553,5.0,360885
pune,18.430590722257637,73.75495730518783,Foodies-24,Grocery,454,1688,15,7125,85088,2.9,394783
indore,22.889040497951303,78.46548236904515,MediCare-50,Furniture,498,2652,8,14008,76430,3.9,396673
kolkata,22.69895225746242,88.47811411994988,Foodies-65,Electronics,648,3250,29,12215,35833,4.0,205693
pune,18.51114590695395,73.87224367189101,GoldNest-45,Electronics,1889,2346,10,2482,44855,4.5,107605
lucknow,26.8123984542487,80.9939074546841,StyleHub-23,Electronics,1455,2956,36,24166,74624,4.1,450453
pune,18.682286085249093,73.77526154987471,MediCare-70,Pharmacy,1723,1741,13,21393,71526,3.1,463418
hyderabad,17.594182518080267,78.48887242020643,StyleHub-24,Clothing,1405,2408,26,18333,15746,3.1,40274
bhopal,22.18888149889674,78.06612278820838,Foodies-98,Furniture,852,3155,44,3726,66847,4.3,306482
surat,22.463827839981,77.94483003069843,GoldNest-54,Pharmacy,1534,1143,48,15784,28327,4.3,488022
delhi,28.713187422686364,77.07529741406255,MediCare-83,Jewelry,1062,1673,16,15548,27833,4.7,325991
lucknow,26.76227493485871,81.02291295711676,HomeComforts-43,Grocery,1535,4026,15,1032,34295,3.4,396976
delhi,28.4189338654429,76.86939739120766,MegaMart-91,Furniture,1814,485,8,19827,5677,2.6,422582
delhi,28.57542746928906,77.03564185114652,FreshMart-11,Supermarket,1264,2215,41,1817,77125,4.1,183176
lucknow,26.801082776828093,80.8868469789013,GoldNest-13,Jewelry,1808,4248,3,1759,48623,2.7,433922
kolkata,22.679965432372548,88.45218818634099,Foodies-26,Pharmacy,1446,245,17,8130,83904,3.6,430824
mumbai,19.283482751313453,72.86780524724027,HomeComforts-90,Furniture,1811,1608,3,18882,75791,3.4,349560
delhi,28.402020231008922,76.95914660162614,TechZone-61,Furniture,1311,4950,18,13863,51037,2.5,62133
chandigarh,22.292814114815798,78.05287739671016,MegaMart-28,Pharmacy,1032,3805,28,17666,74215,3.5,456820
bhopal,22.18929941419594,78.06620574839394,MediCare-61,Restaurant,1119,3313,20,12683,31530,4.6,435105
bhopal,22.189457863625243,78.0663278634889,MegaMart-52,Pharmacy,1774,2103,3,7508,50874,3.1,80638
kolkata,22.733328719958976,88.3606419397642,MegaMart-88,Grocery,744,1019,46,19383,47661,3.1,58319
mumbai,19.071545709511263,72.8117012062184,MediCare-30,Restaurant,1089,2024,2,22039,97089,3.7,133467
indore,22.88900502250932,78.46416490744828,GoldNest-94,Jewelry,427,2443,4,2337,89009,2.8,10952
pune,18.476599489638307,73.8217883429718,MegaMart-25,Jewelry,1320,467,5,6105,11165,3.9,172805
indore,22.88776504579689,78.46482586854452,TechZone-95,Furniture,1310,1145,36,23242,55015,4.9,323353
delhi,28.54065667769308,77.26199926883244,MediCare-51,Pharmacy,1482,2863,20,28098,94535,3.2,216778
surat,22.4623810058848,77.9451119208933,MediCare-71,Jewelry,1540,1011,42,9306,79700,4.2,88043
bhopal,22.189042963997345,78.06589234732488,TechZone-62,Furniture,1289,1544,32,11448,72447,4.0,230227
pune,18.529529151560318,73.72054869604848,MegaMart-8,Grocery,633,4393,29,25083,63255,3.4,388902
jaipur,26.981605750587125,75.93506288715784,StyleHub-69,Clothing,1222,3874,10,14414,48236,3.0,472234
chennai,13.1746523351276,80.15354669146794,GoldNest-34,Supermarket,69,837,3,21813,79600,3.5,319693
hyderabad,17.460880627476634,78.58511885696697,MediCare-63,Grocery,248,1766,40,22875,23065,3.1,251793
patna,22.55515947206667,77.61593249486891,GoldNest-1,Electronics,855,458,37,6814,70793,4.2,360773
bhopal,22.189392600338632,78.06485345297094,Foodies-89,Furniture,63,3028,12,12402,59997,4.5,256393
kolkata,22.536406492026874,88.37630617490359,Foodies-69,Restaurant,1709,1661,37,24146,15837,4.6,124425
surat,22.46369501546267,77.94534187211319,FreshMart-38,Electronics,170,121,25,29162,29697,4.9,369879
chandigarh,22.29267841438012,78.05338072515238,MegaMart-69,Electronics,182,2932,4,1094,69151,3.2,449095
surat,22.4631829361525,77.94451990525805,FreshMart-24,Electronics,655,4275,26,19555,95294,4.6,436378
bangalore,12.926939591308795,77.7165749524989,MegaMart-20,Clothing,272,264,28,5688,84814,3.1,435627
bangalore,12.911398127684055,77.55924584703867,HomeComforts-83,Grocery,831,1980,7,13867,59373,4.8,456189
hyderabad,17.494552242487064,78.3313574430213,TechZone-66,Furniture,1366,1026,11,17645,30613,3.5,61123
hyderabad,17.51483846180545,78.3472717572673,Foodies-63,Grocery,1862,4470,29,25254,70166,3.6,284224
bangalore,12.924264492691997,77.6087186684534,MegaMart-58,Furniture,828,4282,24,20712,62108,4.2,469014
patna,22.555806818597222,77.61537639919727,StyleHub-45,Electronics,1445,4147,23,23415,24649,4.9,243127
indore,22.8890036974021,78.46442274184865,StyleHub-99,Furniture,170,434,36,9921,78858,4.1,279467
jaipur,26.9560157043397,75.9885978191097,MegaMart-6,Electronics,1480,634,23,13238,90472,3.5,172963
delhi,28.80283678004966,77.15866519826707,Foodies-80,Furniture,1927,2101,9,5656,97125,2.9,414567
chandigarh,22.292263702255585,78.05239342904753,FreshMart-87,Clothing,948,1157,40,8362,42273,4.2,475179
lucknow,26.991667095442804,80.99831274250286,GoldNest-14,Supermarket,701,4870,37,9387,53366,2.9,364738
ahmedabad,23.169786362397442,72.55659484045326,HomeComforts-55,Jewelry,577,4184,16,6687,70231,4.1,160272
ahmedabad,23.019656949543062,72.6555241227352,FreshMart-59,Clothing,1974,4759,6,18053,26120,3.4,77818
ahmedabad,23.017771248182715,72.59732394899038,StyleHub-57,Supermarket,1659,4224,1,26999,32394,2.7,463429
mumbai,19.296928586805908,72.94076777274552,GoldNest-2,Clothing,832,1148,42,11228,89210,5.0,369497
lucknow,26.827860602187492,81.03567605222699,StyleHub-42,Supermarket,1687,4531,38,18903,91228,4.8,86539
lucknow,26.872920617999,80.93384936931922,Foodies-72,Pharmacy,1828,4177,7,23430,11259,4.0,395709
kolkata,22.621401198695118,88.47115083143534,MegaMart-19,Restaurant,1513,377,25,3669,71211,3.7,90410
chandigarh,22.29285946552672,78.0517584465967,Foodies-41,Supermarket,1682,3121,21,4756,25961,4.0,247297
surat,22.4637843498676,77.94403420341322,HomeComforts-17,Supermarket,852,801,7,16603,58483,2.7,20813
patna,22.554763211368854,77.61548738420494,TechZone-94,Restaurant,862,4498,16,2662,28539,3.6,261330
bhopal,22.18854631990816,78.0650472814473,Foodies-2,Pharmacy,1550,2712,45,17846,80648,3.6,146711
ahmedabad,23.06588506407948,72.56821481919268,Foodies-25,Jewelry,739,3338,41,4435,38204,4.5,188162
bangalore,13.059740500008422,77.70207767274539,MediCare-43,Pharmacy,1362,4498,38,5215,15346,3.5,241623
pune,18.694974406750358,73.91505694680632,GoldNest-47,Restaurant,292,381,42,2027,15556,4.1,359637
hyderabad,17.20892183533989,78.58435221419904,GoldNest-70,Electronics,618,3097,11,21841,75134,2.8,140038
kolkata,22.55134387617254,88.38878885975699,HomeComforts-54,Clothing,1368,556,35,16801,31142,4.5,296160
patna,22.55527311392779,77.6145010256633,Foodies-87,Jewelry,557,2020,14,15944,50229,4.5,28534
chennai,12.852332671142996,80.20414188105156,GoldNest-31,Grocery,1389,1022,29,11174,91876,4.9,246782
bangalore,12.955196149829403,77.46889264274392,FreshMart-64,Grocery,883,4191,15,29020,69050,4.9,259871
ahmedabad,23.15793018983789,72.6200716912854,FreshMart-26,Jewelry,1174,4076,34,1636,66986,4.8,499604
surat,22.46371672391401,77.94454156885695,GoldNest-68,Electronics,1841,2993,17,3448,8068,3.0,91456
hyderabad,17.25831841262345,78.36599862708913,HomeComforts-81,Jewelry,377,3856,12,21941,37524,3.7,451793
kolkata,22.453681921958424,88.48399081674701,MediCare-56,Electronics,978,2392,41,6756,5636,4.2,303207
delhi,28.793153087530793,76.91726462864091,MediCare-65,Restaurant,412,2329,24,23387,70476,3.9,356464
bhopal,22.18991705372373,78.06568440141486,MegaMart-40,Electronics,1154,4689,16,9332,72006,3.4,99893
bhopal,22.18800155197333,78.06598495084737,MegaMart-41,Clothing,1616,4001,21,7336,74050,4.3,294312
lucknow,26.82721424423682,81.01710194223504,MediCare-3,Clothing,1692,1120,17,14991,35860,4.1,143734
lucknow,26.901052866494645,81.00342979605071,Foodies-45,Clothing,1688,1567,29,20830,27584,4.9,402857
pune,18.673077903900385,73.85786551170408,MediCare-35,Restaurant,1870,4617,13,15271,62474,2.6,265104
chandigarh,22.29089436279122,78.05170239535529,MegaMart-70,Supermarket,824,3474,45,13247,23564,4.7,59352
bhopal,22.188827123015425,78.06438330158772,TechZone-79,Grocery,764,2913,49,17640,77972,3.9,276464
chandigarh,22.29277659268321,78.05166658287774,FreshMart-51,Electronics,1994,2309,31,7319,64705,4.2,273363
delhi,28.412923691689514,77.00278218284333,GoldNest-30,Pharmacy,868,812,17,15417,12814,4.7,177752
chennai,12.959920935455525,80.2030296371306,MegaMart-53,Clothing,893,3103,49,7743,82321,2.8,351366
ahmedabad,23.045385807987095,72.61457536070746,HomeComforts-5,Grocery,1011,2900,11,20408,9962,4.0,139232
kolkata,22.65765676175067,88.46162418368101,StyleHub-77,Electronics,902,139,29,11067,51462,2.6,189498
bangalore,13.007673986303878,77.56999233223138,MegaMart-36,Grocery,1949,3570,16,7703,67193,3.5,486080
chandigarh,22.292826860206876,78.05295823722435,MegaMart-84,Electronics,942,4828,20,27532,71783,4.6,165228
delhi,28.87261970889061,76.86502107498978,Foodies-78,Restaurant,506,4812,34,23930,13480,2.6,374386
patna,22.556332503266848,77.61607212840617,HomeComforts-49,Supermarket,610,3356,17,23645,6950,3.5,244977
delhi,28.744966494309743,76.95430732723327,GoldNest-15,Pharmacy,1989,3946,38,13648,43011,3.4,192529
kolkata,22.46054593377319,88.43798197090081,StyleHub-32,Jewelry,1082,1008,5,24211,23607,3.6,479441
jaipur,26.766822130697737,75.84335491629955,StyleHub-46,Restaurant,187,873,44,13950,63894,4.0,182625
bangalore,12.93021531058257,77.71377896023519,GoldNest-24,Clothing,1948,1500,17,19276,67255,3.8,217937
mumbai,19.202505367348298,72.77773185714399,TechZone-51,Restaurant,189,1144,19,9941,11213,4.1,330521
kolkata,22.68051055546025,88.31577725322964,FreshMart-34,Clothing,294,438,22,2149,89358,4.5,361752
jaipur,26.764553702427285,75.99899077719236,MegaMart-48,Jewelry,532,761,50,23887,83173,4.1,335130
bangalore,12.987732129070258,77.58154000221907,GoldNest-50,Pharmacy,603,2587,15,19288,7591,3.1,211413
bangalore,12.86320695623132,77.49979419105964,HomeComforts-86,Jewelry,272,1768,7,8381,67262,4.1,279289
mumbai,19.013169575865934,72.8497571038052,Foodies-49,Electronics,1225,356,7,24894,58161,4.8,399217
patna,22.55508436213983,77.61638616197477,HomeComforts-64,Clothing,352,1481,15,17796,49815,3.6,305295
chandigarh,22.291911400689894,78.0529051251793,FreshMart-3,Clothing,754,431,49,17227,5231,3.2,243784
chandigarh,22.291710461152555,78.05282066834272,TechZone-13,Restaurant,1184,4039,1,21336,67120,2.9,327879
patna,22.55624896913677,77.6152804236999,TechZone-31,Jewelry,1126,4772,35,22290,46674,4.3,412184
delhi,28.407711458690038,77.2193734131758,FreshMart-24,Jewelry,1357,2919,19,12909,84757,2.9,215046
bhopal,22.18827135676356,78.06618973017518,FreshMart-58,Grocery,1840,4610,30,5807,6020,4.4,130994
surat,22.463966094106237,77.94415298902955,TechZone-7,Clothing,1793,1451,24,28061,56375,3.7,427877
ahmedabad,23.05114294568288,72.57438483611415,MegaMart-62,Electronics,1762,4691,11,26966,15002,3.9,462524
patna,22.55573415322233,77.61474437555688,HomeComforts-48,Electronics,1000,1928,24,18645,72606,3.4,167075
bhopal,22.189936165180622,78.0649995394654,TechZone-75,Supermarket,321,1680,27,19730,91290,4.4,318301
bhopal,22.18909755863692,78.06562009119973,GoldNest-81,Grocery,336,2338,32,28331,15934,3.3,435009
mumbai,18.928446677804075,72.81815946983806,Foodies-99,Grocery,1426,4781,42,21446,12571,2.8,431826
indore,22.888665563023597,78.46429864774191,MegaMart-63,Supermarket,1780,2230,1,11261,63263,4.3,448418
kolkata,22.617175110111525,88.35691706086155,FreshMart-84,Furniture,688,674,4,24624,85146,4.1,354282
jaipur,26.816361682218464,75.81578467597957,MediCare-12,Jewelry,1382,1184,39,28965,53214,4.7,227361
bhopal,22.18976330945646,78.0660596327867,StyleHub-34,Electronics,1217,3730,7,18801,11977,3.4,249171
bangalore,13.057542551278576,77.55363974560343,FreshMart-5,Pharmacy,701,1255,22,29876,5279,4.2,394104
hyderabad,17.28982772429222,78.48615460140805,MegaMart-36,Pharmacy,670,1720,2,4329,45827,5.0,138045
ahmedabad,23.13838573212297,72.64333230425406,TechZone-29,Electronics,1139,3939,29,11655,37026,3.0,451717
lucknow,26.84840940614589,80.87927214714456,MegaMart-70,Pharmacy,967,2139,14,1329,45631,3.9,475598
surat,22.463471078318296,77.94430114256244,MegaMart-10,Furniture,1324,2191,20,5456,72266,3.5,20498
kolkata,22.50855164702803,88.3380551051247,GoldNest-5,Jewelry,1874,3511,35,3937,39429,3.3,494773
lucknow,26.83905177526138,81.00391026300333,MediCare-88,Grocery,1784,854,17,26515,12347,3.8,239445
bangalore,13.092478851511435,77.72671643548593,HomeComforts-21,Supermarket,1429,2415,35,8770,10286,5.0,211139
chennai,12.972645435861665,80.15624454676089,GoldNest-85,Electronics,1416,2397,36,1433,37565,3.1,446289
delhi,28.83750808556984,77.14761828974017,Foodies-45,Clothing,1679,2419,15,8611,18469,4.4,131565
pune,18.67387162509532,73.89312994392895,Foodies-87,Restaurant,341,1367,41,13842,33466,3.0,456617
chandigarh,22.291855497384383,78.05250181483956,GoldNest-95,Grocery,1722,2297,44,19143,93980,4.2,137878
mumbai,18.984660789324842,72.7582884143313,Foodies-46,Grocery,1357,3939,2,15450,67333,3.3,337965
indore,22.888233916794587,78.46504795311405,MegaMart-60,Clothing,1991,3499,38,9594,42161,2.7,90802
lucknow,26.897495280359177,80.89916288592208,TechZone-25,Electronics,1817,3832,8,17999,68358,4.3,403740
delhi,28.5450023937965,76.85783684310559,HomeComforts-18,Restaurant,1535,858,19,29148,52697,4.9,449854
ahmedabad,23.14969698194876,72.56946177084461,HomeComforts-84,Jewelry,1286,405,2,29624,62074,4.2,68376
hyderabad,17.327333096958426,78.53918767686632,FreshMart-49,Supermarket,386,3169,45,25190,56956,3.0,246484
patna,22.554623061997567,77.6156841761776,HomeComforts-94,Supermarket,114,3687,30,23630,52952,2.9,356239
bangalore,13.017736360379104,77.4672782106018,FreshMart-57,Supermarket,156,2540,12,18528,25030,2.6,397460
surat,22.4627135080628,77.94552186327161,StyleHub-51,Grocery,1564,1381,50,12684,84132,3.6,302857
ahmedabad,23.017053955833248,72.62908278555746,GoldNest-20,Restaurant,364,3444,44,6681,82646,4.2,207309
patna,22.55572075632923,77.61564696209307,StyleHub-68,Furniture,902,1494,47,6543,12002,2.8,113006
delhi,28.558472344171125,77.02450815035859,GoldNest-94,Jewelry,1583,4887,33,28412,64595,3.3,33155
bhopal,22.189166515312458,78.06575195494145,MegaMart-12,Electronics,79,159,23,26386,68178,4.2,264440
surat,22.4636850109344,77.94461171332995,Foodies-88,Jewelry,962,3146,38,20162,82599,4.0,307638
lucknow,26.9575939873971,80.93494586445253,StyleHub-23,Supermarket,1681,715,12,1941,5650,2.7,449714
hyderabad,17.357256786260102,78.43392744969961,HomeComforts-89,Supermarket,289,825,50,10526,76554,4.2,223904
ahmedabad,23.010714834287267,72.58378067725143,MegaMart-75,Grocery,442,1882,4,3340,32157,3.3,126620
surat,22.464006777929416,77.94522898083667,MediCare-47,Supermarket,1539,3278,11,3391,44825,4.0,386657
patna,22.55649886250401,77.61482061320501,FreshMart-32,Electronics,1366,4963,20,25789,70258,4.1,155489
chennai,13.0644286114155,80.15398856397358,TechZone-28,Pharmacy,1594,4612,31,19074,29235,4.5,495104
patna,22.555563665585648,77.6157094018653,TechZone-82,Supermarket,514,3785,36,13836,47054,2.6,109786
kolkata,22.736065213072752,88.38779045445987,MegaMart-23,Electronics,160,668,10,20725,6314,2.6,172334
surat,22.462788724103834,77.94484862482662,HomeComforts-7,Furniture,65,959,40,1910,95201,3.0,92532
lucknow,26.9388060430801,80.88913077269713,MediCare-57,Jewelry,165,2940,45,29339,19209,5.0,112209
bhopal,22.1880787085759,78.06568645405471,MegaMart-73,Restaurant,1891,3120,14,12031,83997,2.8,426371
surat,22.463199133277094,77.94523260784702,FreshMart-27,Restaurant,58,4737,27,8301,95722,3.6,44669
jaipur,27.04704896129752,75.76137651773088,MegaMart-49,Clothing,535,492,4,3629,75305,4.0,175476
kolkata,22.454710150379107,88.31661837541978,TechZone-37,Clothing,862,2934,38,15587,69402,3.8,129503
bangalore,13.03357600990872,77.57312283264211,HomeComforts-56,Grocery,1683,1965,31,1845,72439,3.3,149994
surat,22.46358481328233,77.94517865689487,TechZone-26,Furniture,581,137,38,14061,23509,3.1,238422
ahmedabad,23.029866493742883,72.60525280521702,MediCare-14,Jewelry,1604,1240,37,23037,77866,3.0,383982
chennai,13.1084189901764,80.15350807766727,TechZone-32,Supermarket,1237,144,27,26451,71083,5.0,253068
mumbai,18.929124726113184,72.92092470644751,MediCare-78,Clothing,1390,1401,13,20973,74383,3.3,259487
pune,18.40403979890723,73.93276241391005,StyleHub-1,Pharmacy,757,724,32,16626,28450,3.4,119902
pune,18.611985009330706,73.85368047357115,StyleHub-74,Furniture,523,1315,33,4352,95080,4.8,290198
chennai,12.891686444258923,80.23316407419165,TechZone-65,Pharmacy,1232,1852,5,4164,96359,3.7,486247
pune,18.67626341681133,73.72177244543509,FreshMart-11,Restaurant,339,719,14,21675,71301,3.3,70243
delhi,28.84877326808651,77.07977725320163,MegaMart-15,Clothing,1888,749,15,8725,66308,3.5,108540
surat,22.46256445234319,77.9441715883309,HomeComforts-2,Jewelry,1630,651,49,18838,31702,4.8,259448
mumbai,18.92805175200789,72.7701283139517,MediCare-72,Clothing,307,2270,35,6911,54029,4.1,362345
lucknow,26.77866699386846,80.91073680952171,MegaMart-32,Restaurant,1958,3337,49,15704,46449,4.5,188054
kolkata,22.526966422281397,88.49254243568173,HomeComforts-66,Supermarket,1245,203,40,28892,76063,4.3,98012
kolkata,22.453380519755946,88.37160580771042,Foodies-45,Restaurant,1138,2397,12,13217,9913,3.9,484650
indore,22.888978887274416,78.46485450001805,MediCare-71,Supermarket,1457,1217,34,6708,35706,4.8,453065
lucknow,26.901855963698985,80.89050301338288,MediCare-57,Restaurant,573,4441,33,18326,44354,3.9,395011
indore,22.887549226703065,78.46541165583002,HomeComforts-38,Pharmacy,814,2738,3,25300,64683,2.6,321615
kolkata,22.53798875867343,88.47758786268233,MediCare-5,Clothing,891,3771,14,21610,62544,4.2,397657
pune,18.667651169183355,73.7764254596008,MegaMart-74,Supermarket,51,1613,38,26445,62002,4.5,490217
ahmedabad,23.148850910303896,72.67820999561538,MegaMart-9,Restaurant,944,2350,49,4441,83036,4.2,203789
patna,22.555238880799354,77.61534289934166,HomeComforts-20,Pharmacy,1417,4835,16,18933,55803,2.8,196974
surat,22.463662174002778,77.94530484004869,HomeComforts-2,Supermarket,466,2095,35,28324,70643,3.5,52782
ahmedabad,23.05502332102621,72.52699802274657,FreshMart-11,Grocery,701,2152,39,14302,8185,4.8,52394
mumbai,19.12544516313415,72.76296716635399,MegaMart-34,Supermarket,291,1290,50,11215,69134,4.1,241490
ahmedabad,23.104313053704445,72.50362311743953,MegaMart-68,Electronics,369,292,32,26783,56099,4.3,24548
delhi,28.83916703110499,77.05494579886025,MegaMart-53,Pharmacy,498,1588,46,24394,7730,3.5,442411
lucknow,26.77852042812316,80.90564328878978,MediCare-43,Electronics,1408,1859,18,15889,61639,2.9,338398
indore,22.8875241284725,78.46411166580297,HomeComforts-37,Grocery,1824,3488,28,1747,40739,3.2,175405
chandigarh,22.29261426783149,78.05331295096683,StyleHub-74,Jewelry,147,3283,13,10922,22311,3.0,303476
mumbai,18.894794253437848,72.83210698228599,GoldNest-53,Grocery,1258,2192,13,23251,27552,2.7,145570
patna,22.555440860535903,77.615840435264,TechZone-74,Pharmacy,199,1233,17,7120,68423,3.7,282457
surat,22.46256247645175,77.94525958791776,MediCare-90,Pharmacy,1637,1054,35,8365,13255,4.7,144648
indore,22.887534480345856,78.4655150931461,MegaMart-20,Furniture,941,4226,47,22017,27780,4.7,114046
pune,18.561201328659827,73.71928140565727,MegaMart-83,Pharmacy,1301,3053,44,10151,19760,3.6,151494
ahmedabad,23.031924072297972,72.50314586432332,Foodies-55,Jewelry,1184,4073,41,17221,52901,3.4,248349
pune,18.548732657843146,73.85620525487593,GoldNest-31,Clothing,108,322,42,1250,39103,2.7,496133
patna,22.554958881918232,77.61639457309292,GoldNest-54,Jewelry,1216,3278,8,9679,24000,3.0,87638
chandigarh,22.29198649456577,78.05313874698496,MediCare-50,Clothing,1892,2615,7,22067,51136,3.7,158675
